timestamp,symbol,action,price,quantity,reason,mode,outcome,pnl
2026-07-10T22:15:00Z,BTC_USD,BUY,64028.42,0.01561806,entry bullish-cross|downtrend|low-vol,raw,loss,
2026-07-11T02:30:00Z,BTC_USD,SELL,64012.22,0.01561806,bearish-cross exit setup=bullish-cross|downtrend|low-vol,raw,loss,-2.25
2026-07-11T04:30:00Z,BTC_USD,BUY,64112.52,0.01559758,entry bullish-cross|uptrend|low-vol,raw,loss,
2026-07-11T11:00:00Z,BTC_USD,SELL,64156.54,0.01559758,bearish-cross exit setup=bullish-cross|uptrend|low-vol,raw,loss,-1.31
2026-07-11T14:00:00Z,BTC_USD,BUY,64211.82,0.01557346,entry bullish-cross|uptrend|low-vol,raw,loss,
2026-07-11T17:15:00Z,BTC_USD,SELL,64167.39,0.01557346,bearish-cross exit setup=bullish-cross|uptrend|low-vol,raw,loss,-2.69
2026-07-11T19:00:00Z,BTC_USD,BUY,64297.03,0.01555282,entry bullish-cross|uptrend|low-vol,raw,loss,
2026-07-11T23:00:00Z,BTC_USD,SELL,64171.71,0.01555282,bearish-cross exit setup=bullish-cross|uptrend|low-vol,raw,loss,-3.95
2026-07-12T03:15:00Z,BTC_USD,BUY,64067.08,0.01560864,entry bullish-cross|downtrend|low-vol,raw,loss,
2026-07-12T06:00:00Z,BTC_USD,SELL,63933.83,0.01560864,bearish-cross exit setup=bullish-cross|downtrend|low-vol,raw,loss,-4.08
2026-07-12T09:15:00Z,BTC_USD,BUY,63852.73,0.01566104,entry bullish-cross|downtrend|low-vol,raw,win,
2026-07-12T19:15:00Z,BTC_USD,SELL,64139.64,0.01566104,bearish-cross exit setup=bullish-cross|downtrend|low-vol,raw,win,2.49
2026-07-12T20:15:00Z,BTC_USD,BUY,64169.48,0.01558373,entry bullish-cross|uptrend|low-vol,raw,loss,
2026-07-12T22:15:00Z,BTC_USD,SELL,63760.14,0.01558373,bearish-cross exit setup=bullish-cross|uptrend|low-vol,raw,loss,-8.37
2026-07-10T21:15:00Z,ETH_USD,BUY,1791.2,0.55828495,entry bullish-cross|downtrend|low-vol,raw,loss,
